zipcode,city,county_name,rent_amount
55106,Saint Paul,Ramsey County,1142.332611832612
43055,Newark,Licking County,1516.361111111111
22030,Fairfax,Fairfax County,2292.61385739481
80634,Greeley,Weld County,1698.87326007326
30016,Covington,Newton County,1918.4832358674464
80525,Fort Collins,Larimer County,1853.6675645342311
93436,Lompoc,Santa Barbara County,2232.136507936508
10009,New York,New York County,4056.327862602696
75115,Desoto,Dallas County,2078.714285714286
33511,Brandon,Hillsborough County,2231.084896584897
87111,Albuquerque,Bernalillo County,1593.4309941520469
33142,Brownsville,Miami-Dade County,2140.714285714286
28314,Fayetteville,Cumberland County,1386.299905416169
80631,Greeley,Weld County,1270.3125
55044,Lakeville,Dakota County,2057.388888888889
78753,Austin,Travis County,1606.7690642690643
29730,Rock Hill,York County,1592.2777777777776
78228,San Antonio,Bexar County,1458.3333333333333
78250,San Antonio,Bexar County,1546.846153846154
76010,Arlington,Tarrant County,1364.8765151515152
33065,Coral Springs,Broward County,2269.808771929824
27284,Kernersville,Forsyth County,1876.267857142857
02169,Quincy,Norfolk County,2469.427709654686
23454,Virginia Beach,Virginia Beach City,1934.133903133903
23452,Virginia Beach,Virginia Beach City,1685.669696969697
85705,Tucson,Pima County,1110.4182692307693
08527,Jackson,Ocean County,3477.6111111111118
91732,El Monte,Los Angeles County,2683.333333333333
07728,Freehold,Monmouth County,2714.4407407407407
33177,Miami,Miami-Dade County,2634.19246031746
78240,San Antonio,Bexar County,1301.558120567376
80022,,Adams County,2308.9148148148147
92780,Tustin,Orange County,2686.0925925925926
97301,Salem,Marion County,1474.5444444444445
75149,Mesquite,Dallas County,1820.809523809524
60056,Mount Prospect,Cook County,1785.4771241830067
87124,Rio Rancho,Sandoval County,1681.3333333333333
95670,Rancho Cordova,Sacramento County,2322.9074074074074
59901,Kalispell,Flathead County,2085.714285714286
37066,Gallatin,Sumner County,1868.4773351648355
91950,National City,San Diego County,2489.388888888889
85706,Tucson,Pima County,1406.2186147186148
95112,San Jose,Santa Clara County,2802.149472990777
94591,Vallejo,Solano County,2266.465728715729
77082,Houston,Harris County,1493.48547008547
30518,Buford,Gwinnett County,2215.6007326007325
44077,Painesville,Lake County,1525.6888888888889
45140,Loveland,Clermont County,1914.027777777778
43068,Reynoldsburg,Franklin County,1708.9166666666667
92223,Beaumont,Riverside County,2702.25
33032,Homestead,Miami-Dade County,2759.694444444445
38654,Olive Branch,DeSoto County,2013.2498057498055
27713,Durham,Durham County,1732.7265446224258
92708,Fountain Valley,Orange County,3103.1060606060605
