tree_id,spc_common,health,zipcode,status,latitude,longitude
206381,ginkgo,Good,10010,Alive,40.73815531,-73.98054734
187061,honeylocust,Good,10023,Alive,40.77005069,-73.98079175
189365,honeylocust,Good,11217,Alive,40.67672539,-73.97265212
161340,honeylocust,Good,11226,Alive,40.64872085,-73.96469573
204224,honeylocust,Good,11211,Alive,40.71308988,-73.93895706
190435,honeylocust,Good,10023,Alive,40.77055862,-73.9861635
193092,honeylocust,Good,11215,Alive,40.66116853,-73.98577305
209331,honeylocust,Good,11237,Alive,40.70233782,-73.91521777
200439,ginkgo,Good,10038,Alive,40.71269558,-73.99769319
180252,honeylocust,Fair,10023,Alive,40.76961476,-73.98364215
180434,ginkgo,Good,11230,Alive,40.62037645,-73.95847826
209045,honeylocust,Good,11232,Alive,40.6635718,-73.99457015
201593,honeylocust,Good,11694,Alive,40.58221487,-73.82831042
193069,honeylocust,Good,11229,Alive,40.60955151,-73.94574108
189243,American linden,Good,11217,Alive,40.67586569,-73.97279
180516,ginkgo,Poor,11385,Alive,40.70099719,-73.89270307
208860,honeylocust,Good,11205,Alive,40.69124695,-73.96056701
204033,honeylocust,Good,10025,Alive,40.79880049,-73.96897589
208410,ginkgo,Good,11385,Alive,40.70871281,-73.91480707
170023,honeylocust,Good,10048,Alive,40.71007644,-74.01226648
189583,ginkgo,Good,11205,Alive,40.69577266,-73.97068954
189500,honeylocust,Good,11215,Alive,40.67249783,-73.97235367
189902,ginkgo,Good,11217,Alive,40.67688868,-73.97371851
187294,honeylocust,Good,10026,Alive,40.80278452,-73.95251716
192893,ginkgo,Good,11229,Alive,40.60949889,-73.94853152
206382,honeylocust,Good,10010,Alive,40.73824263,-73.98048352
189249,American linden,Good,11217,Alive,40.67561105,-73.97213743
189251,ginkgo,Good,11217,Alive,40.67551014,-73.97187885
201817,American linden,Poor,11694,Alive,40.58344881,-73.82405773
201819,American linden,Poor,11694,Alive,40.58350299,-73.82387099
204025,honeylocust,Good,11211,Alive,40.71763375,-73.93663139
193395,honeylocust,Good,11372,Alive,40.75182477,-73.88841976
210541,American linden,Good,11222,Alive,40.72566319,-73.94694312
184749,London planetree,Fair,10457,Alive,40.85153001,-73.89377521
185678,American elm,Good,10453,Alive,40.85811921,-73.9021878
182059,London planetree,Fair,11101,Alive,40.74222798,-73.92783662
182170,London planetree,Good,11219,Alive,40.63461036,-73.99982555
161371,London planetree,Good,11691,Alive,40.61095304,-73.7701119
195488,Amur maple,Fair,10308,Alive,40.55832021,-74.16176844
184924,American elm,Poor,10457,Alive,40.84983561,-73.90281035
192294,London planetree,Good,11412,Alive,40.69414597,-73.75058098
188761,London planetree,Good,11105,Alive,40.78343726,-73.91459447
189940,London planetree,Good,11105,Alive,40.78183619,-73.91206578
163875,London planetree,Fair,11235,Alive,40.58453676,-73.93097316
171588,London planetree,Good,10314,Alive,40.61544133,-74.16442172
181473,London planetree,Good,10024,Alive,40.78755732,-73.97055355
179494,American elm,Fair,11375,Alive,40.7379165,-73.84892202
179651,London planetree,Fair,11375,Alive,40.7375311,-73.84843343
188661,London planetree,Good,11358,Alive,40.76509665,-73.79585205
188386,London planetree,Good,11105,Alive,40.77997369,-73.91049677
192037,London planetree,Good,11209,Alive,40.62103615,-74.03391951
190115,willow oak,Good,10024,Alive,40.78603546,-73.97136276
119244,silver maple,Good,11413,Alive,40.66243464,-73.75219521
121659,silver maple,Good,10314,Alive,40.60249347,-74.11737184
143237,silver maple,Good,10306,Alive,40.57845116,-74.09984423
132105,silver maple,Fair,11218,Alive,40.64218648,-73.97711679
118769,Turkish hazelnut,Fair,10002,Alive,40.71975914,-73.98660086
151575,silver maple,Good,11374,Alive,40.71947082,-73.86006187
143026,silver maple,Fair,11413,Alive,40.67335166,-73.75326962
165029,silver maple,Good,11361,Alive,40.76629559,-73.77954308
157920,black cherry,Good,11364,Alive,40.75690759,-73.75653466
131562,silver maple,Good,11375,Alive,40.7341053,-73.85375548
153022,silver maple,Good,11432,Alive,40.72499955,-73.78625396
162964,silver maple,Good,10314,Alive,40.58871258,-74.15250829
208525,,Unknown,10019,Stump,40.76458056,-73.98974808
159649,eastern redcedar,Good,11356,Alive,40.7853317,-73.84269904
164329,silver maple,Good,11354,Alive,40.76843137,-73.8082915
176111,eastern redcedar,Good,11226,Alive,40.639637,-73.95696074
178894,black cherry,Good,11237,Alive,40.69791922,-73.90830664
162178,silver maple,Good,11230,Alive,40.61242516,-73.96444166
73302,silver maple,Good,11372,Alive,40.75237429,-73.8932499
191083,silver maple,Good,11415,Alive,40.71266475,-73.8302881
163225,honeylocust,Good,11374,Alive,40.73433314,-73.85778669
184448,honeylocust,Good,10458,Alive,40.8560007,-73.89284982
203468,honeylocust,Good,11375,Alive,40.71760215,-73.84915064
183939,honeylocust,Fair,10457,Alive,40.85358319,-73.90149295
183941,honeylocust,Good,10457,Alive,40.85378584,-73.90142196
191268,ginkgo,Good,10010,Alive,40.739211,-73.98381722
201655,American linden,Good,11231,Alive,40.68210684,-74.00402821
189587,ginkgo,Good,11215,Alive,40.67222771,-73.9748566
180306,ginkgo,Good,11693,Alive,40.58396282,-73.81811317
198018,ginkgo,Poor,10017,Alive,40.75019786,-73.97469992
198020,ginkgo,Poor,10017,Alive,40.75041366,-73.97454407
164685,Norway maple,Fair,10457,Alive,40.84765784,-73.89371113
170671,tulip-poplar,Good,11691,Alive,40.60693099,-73.764123
162756,Norway maple,Good,10452,Alive,40.83230633,-73.92817071
179127,tulip-poplar,Good,11375,Alive,40.72099944,-73.84236505
172273,Norway maple,Poor,11385,Alive,40.70871171,-73.90408214
186754,Norway maple,Good,10467,Alive,40.87567747,-73.88153803
178264,Norway maple,Good,11215,Alive,40.67491692,-73.97883273
178434,Norway maple,Good,11362,Alive,40.76129482,-73.73567337
164151,Norway maple,Good,11216,Alive,40.67187546,-73.95509839
179202,Norway maple,Poor,11375,Alive,40.72128023,-73.83966278
175792,Norway maple,Good,11370,Alive,40.75792848,-73.89426076
175281,Norway maple,Good,10019,Alive,40.76814466,-73.99240025
155427,sawtooth oak,Good,11249,Alive,40.71233878,-73.96594651
176428,Norway maple,Good,11415,Alive,40.70453556,-73.83213744
172782,Norway maple,Good,11226,Alive,40.63956769,-73.96500315
157533,Norway maple,Poor,10461,Alive,40.85488535,-73.85369905
198291,honeylocust,Fair,11354,Alive,40.76982331,-73.82703698
200363,ginkgo,Good,10036,Alive,40.75689625,-73.98317757
183936,honeylocust,Good,10457,Alive,40.85334856,-73.9015736
203805,ginkgo,Good,10025,Alive,40.79952467,-73.971644
204158,honeylocust,Good,10025,Alive,40.79962299,-73.96965382
208787,ginkgo,Good,10065,Alive,40.76412273,-73.96117932
189469,honeylocust,Good,11205,Alive,40.69346634,-73.96795356
189618,honeylocust,Good,11205,Alive,40.69383699,-73.96593251
205830,honeylocust,Good,11234,Alive,40.63046564,-73.92414493
184319,honeylocust,Good,10458,Alive,40.85637186,-73.89088874
184168,ginkgo,Good,10458,Alive,40.85737328,-73.8926941
155673,honeylocust,Good,10023,Alive,40.77913077,-73.98090356
201933,honeylocust,Good,11694,Alive,40.58142172,-73.82465289
208457,London planetree,Good,11358,Alive,40.76761445,-73.79794186
208555,London planetree,Good,11205,Alive,40.69123029,-73.96541768
208866,London planetree,Fair,11205,Alive,40.69194056,-73.96071087
163101,Norway maple,Fair,11102,Alive,40.76782574,-73.9308659
175099,tulip-poplar,Fair,11226,Alive,40.64459956,-73.96285445
135634,Norway maple,Fair,11361,Alive,40.77048653,-73.77418742
147189,Norway maple,Fair,11413,Alive,40.67524172,-73.74810119
166718,Norway maple,Good,11427,Alive,40.73287782,-73.7546477
138199,Norway maple,Poor,11216,Alive,40.67673979,-73.94652237
166477,Norway maple,Good,11375,Alive,40.71449877,-73.83329646
178550,Norway maple,Good,10026,Alive,40.80690345,-73.95739877
185627,Norway maple,Good,11370,Alive,40.76932328,-73.8906477
185670,Norway maple,Good,10457,Alive,40.85070575,-73.88695045
183686,London planetree,Good,11415,Alive,40.70556938,-73.82133897
192223,London planetree,Good,10306,Alive,40.57461702,-74.12680328
220914,,Unknown,10016,Dead,40.74529871,-73.97827071
178385,London planetree,Fair,10009,Alive,40.73357762,-73.97672526
178387,London planetree,Good,10009,Alive,40.73346807,-73.97646308
186324,London planetree,Fair,10458,Alive,40.85805147,-73.88533325
191989,willow oak,Good,10012,Alive,40.72666328,-73.99941653
203721,London planetree,Good,11105,Alive,40.78227353,-73.91136021
189332,London planetree,Fair,11205,Alive,40.69452585,-73.96619451
198109,American elm,Good,11414,Alive,40.65353429,-73.84344477
209105,London planetree,Poor,10452,Alive,40.84571911,-73.91819074
189551,London planetree,Good,11205,Alive,40.69468728,-73.97022537
208371,London planetree,Good,10024,Alive,40.7816867,-73.97549554
177285,Sophora,Good,11207,Alive,40.67763435,-73.89058092
191378,honeylocust,Good,10010,Alive,40.73974645,-73.9850924
146736,swamp white oak,Good,11207,Alive,40.68280728,-73.90979496
147983,swamp white oak,Good,11233,Alive,40.68111502,-73.9114682
133750,swamp white oak,Fair,11234,Alive,40.63440847,-73.92809354
172058,Chinese fringetree,Good,11375,Alive,40.72403951,-73.83980528
175959,swamp white oak,Good,11226,Alive,40.65189344,-73.96023354
184715,swamp white oak,Good,10458,Alive,40.85663542,-73.89013512
158050,swamp white oak,Good,10306,Alive,40.57237894,-74.08885094
147397,swamp white oak,Good,11216,Alive,40.67441563,-73.95314143
184563,red maple,Good,10457,Alive,40.84744348,-73.89566027
159658,southern magnolia,Good,11206,Alive,40.70378287,-73.94425849
173394,swamp white oak,Good,11211,Alive,40.70744575,-73.95201546
185008,swamp white oak,Good,10458,Alive,40.85912362,-73.89424406
176563,swamp white oak,Fair,11226,Alive,40.65364723,-73.95912524
170024,honeylocust,Good,10048,Alive,40.71011368,-74.01235235
186382,Sophora,Fair,10457,Alive,40.8494875,-73.89261605
175704,Sophora,Good,10016,Alive,40.74791179,-73.98052056
185163,sweetgum,Fair,11692,Alive,40.59061304,-73.79683634
185164,sweetgum,Fair,11692,Alive,40.590643,-73.79673994
165625,Sophora,Good,11222,Alive,40.72606121,-73.94815262
181202,Sophora,Good,11238,Alive,40.67607533,-73.95725929
183359,Sophora,Good,11216,Alive,40.67640772,-73.95581738
145055,Sophora,Poor,10013,Alive,40.71751014,-73.99597274
167230,Sophora,Fair,11374,Alive,40.72224466,-73.86131975
